"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"MIGUEL VALLÉS","direccion_centro":"Rambla De San Julián, 57"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"NTRA. SRA. DEL PILAR","direccion_centro":"Cl. Alfonso I El Batallador, 1"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"PEQUEÑALBA","direccion_centro":"CL. Camino Real S/N"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"PIERRES VEDEL","direccion_centro":"Cl. Yagüe De Salas, 21"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"PRIMEROS PASOS","direccion_centro":"AVDA. CONSTITUCIÓN, 13"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"RICARDA GONZALO DE LIRIA","direccion_centro":"CL. MARÍA MOLINER Nº 1"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"RICARDO MALLÉN","direccion_centro":"Avda. De La Constitución, 1"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"ROMÁN GARCÍA","direccion_centro":"Cl. Ronda Gárate S/N"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"SAGALETS (AULA DE BECEITE)","direccion_centro":"CL. La Pesquera, 3"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"SAGALETS (AULA DE CRETAS)","direccion_centro":"CL. Ermita, 7"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"SAGALETS (AULA DE FUENTESPALDA)","direccion_centro":"CL. Virgen del Pilar, 38"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"SAGALETS (AULA DE MAZALEÓN)","direccion_centro":"CL. REHUERTA, 2"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"SAGALETS (AULA DE MONROYO)","direccion_centro":"CL.MURO, 5"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"SAGALETS (AULA DE PORTELLADA)","direccion_centro":"Cl. Las Escuelas, número 6"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"SAGALETS (AULA DE VALDELTORMO)","direccion_centro":"CL MAYOR, 33"-n-"provincia":"Teruel"
"naturaleza":"Centro público","provincia":"Teruel","nombre_centro":"SAGALETS (AULA DE VALJUNQUERA)","direccion_centro":"CL. FERRANDO, 3"-n-"provincia":"Teruel"
