Comunidades;Edad (año a año);Españoles/Extranjeros;Sexo;Año;Total
ARAGÓN;96 años;Españoles;Ambos sexos;2019;1.147
ARAGÓN;96 años;Extranjeros;Ambos sexos;2019;3
ARAGÓN;97 años;TOTAL;Ambos sexos;2019;776
ARAGÓN;97 años;Españoles;Ambos sexos;2019;775
ARAGÓN;97 años;Extranjeros;Ambos sexos;2019;1
ARAGÓN;98 años;TOTAL;Ambos sexos;2019;517
ARAGÓN;98 años;Españoles;Ambos sexos;2019;515
ARAGÓN;98 años;Extranjeros;Ambos sexos;2019;2
ARAGÓN;99 años;TOTAL;Ambos sexos;2019;310
ARAGÓN;99 años;Españoles;Ambos sexos;2019;309
ARAGÓN;99 años;Extranjeros;Ambos sexos;2019;1
ARAGÓN;100 años y más;TOTAL;Ambos sexos;2019;568
ARAGÓN;100 años y más;Españoles;Ambos sexos;2019;567
ARAGÓN;100 años y más;Extranjeros;Ambos sexos;2019;1
