CE;Enseñanza;Curso;Naturaleza;Denom. Genérica Centro;Centro;Nº Matriculados
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN PIGNATELLI;48
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;45
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;REYES CATÓLICOS;70
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RÍO ARBA;46
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RÍO GÁLLEGO;33
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RODANAS;34
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SALVADOR VICTORIA;23
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SAN ALBERTO MAGNO;43
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SANTA EMERENCIANA;90
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SANTIAGO HERNÁNDEZ;55
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SEGUNDO DE CHOMÓN;92
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIERRA DE LA VIRGEN;36
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIERRA DE SAN QUÍLEZ;59
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIGLO XXI;40
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SOBRARBE;42
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;TIEMPOS MODERNOS;91
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;TUBALCAÍN;100
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;VALLE DEL JILOCA;40
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;VEGA DEL TURIA;87
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;VIRGEN DEL PILAR;61
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ZAURÍN;45
2011/2012;Bachillerato;1;Centro público;Escuela de Arte;ESCUELA DE ARTE DE HUESCA;52
2011/2012;Bachillerato;1;Centro público;Escuela de Arte;ESCUELA DE ARTE DE TERUEL;19
2011/2012;Bachillerato;1;Centro público;Escuela de Arte;ESCUELA DE ARTE DE ZARAGOZA;174
2011/2012;Bachillerato;1;Centro privado;Centro Privado de Educación Secundaria;SALESIANOS LAVIAGA-CASTILLO;51
2011/2012;Bachillerato;1;Centro privado;Centro Privado de Educación Secundaria;SAN VALERO;87
2011/2012;Bachillerato;1;Centro privado;Centro Privado de Educación Secundaria;SANTO DOMINGO SAVIO;48
2011/2012;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;EL BUEN PASTOR;57
2011/2012;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;OBRA DIOCESANA SANTO DOMINGO DE SILOS;140
2011/2012;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;PADRE ENRIQUE DE OSSÓ;55
2011/2012;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;SALESIANO NTRA. SRA.DEL PILAR;85
2011/2012;Bachillerato;1;Centro privado;Centro Privado Integrado de Formación Profesional;LA SALLE-SANTO ANGEL;62
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ANDALÁN;68
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ÁNGEL SANZ BRIZ;40
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;AVEMPACE;70
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BAJO ARAGÓN;207
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BAJO CINCA;60
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BALTASAR GRACIÁN;34
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BENJAMÍN JARNÉS;82
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BIELLO ARAGÓN;29
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CABAÑAS;65
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CINCO VILLAS;40
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;COMUNIDAD DE DAROCA;14
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CONDE ARANDA;38
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CORONA DE ARAGÓN;85
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;DOMINGO MIRAL;57
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;EL PORTILLO;59
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ELAIOS;78
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;EMILIO JIMENO;59
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FÉLIX DE AZARA;101
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FERNANDO LÁZARO CARRETER;37
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FRANCÉS DE ARANDA;88
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FRANCISCO GRANDE COVIÁN;87
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;GALLICUM;58
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;GOYA;387
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;HERMANOS ARGENSOLA;81
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ÍTACA;90
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JERÓNIMO ZURITA;102
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JOAQUÍN COSTA;29
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JOSÉ MANUEL BLECUA;26
