nombrecentro;pctextranjeros
LOS MONCHONES;10
LA SOLANA;10
HERMANOS ARGENSOLA;9.95475
ZAURÍN;9.88701
IGNACIO LUZÁN;9.87654
LUCIEN BRIET;9.84556
RAMÓN Y CAJAL;9.80392
MARIANO CASTILLO;9.79021
KATIA ACÍN;9.7561
LA INMACULADA;9.68858
LA SALLE MONTEMOLÍN;9.68085
LA RUELLA;9.67742
ALCORAZ;9.66921
ARTE-MISS ZARAGOZA, CENTRO 2;9.63855
PIRINEOS;9.63173
FORO ROMANO;9.62773
DE CASPE;9.58904
SAN JUAN DE LA PEÑA;9.52381
BAJO ARAGÓN;9.51062
LUIS BUÑUEL;9.48845
TUBALCAÍN;9.43662
BAJO ARAGÓN;9.40819
RAMÓN Y CAJAL;9.39358
DE LA COMARCA DE SOBRARBE;9.375
CORTES DE ARAGÓN;9.33099
EL PICARRAL;9.20502
MARIE CURIE;9.1954
BENJAMÍN JARNÉS;9.12863
LA FUEVA;9.09091
DUMBO;9.09091
PINOCHO;9.09091
GUARDERIA INFANTIL DE REMOLINOS;9.09091
ZALFONADA;9.07029
LOS ENLACES;8.96168
LA SELVETA;8.88889
SAN VIATOR;8.79479
E.F.A. LA NORIA;8.69565
EL BARQUITO DE PAPEL;8.69565
VALLE DE TENA;8.64662
MIGUEL ARTAZOS TAMÉ;8.47458
CÉSAR AUGUSTO;8.4507
PINTOR PRADILLA;8.44327
DEL MEZQUÍN;8.44156
NUESTRA SEÑORA DE SAN LORENZO;8.43373
PADRE ENRIQUE DE OSSÓ;8.37629
ALTO ARA;8.33333
ABABOL;8.33333
LOS VIENTOS;8.33333
DE LA ALMOLDA;8.33333
HERMANOS MARX;8.27423
ALTA RIBAGORZA;8.19672
MONEGROS-HOYA;8.10811
RÍO RIBOTA;8
RENACUAJOS;8
DE UTEBO;8
TORRE DE LOS ESPEJOS;7.97186
CANTINELA;7.93651
ESCUELA DE ARTE DE TERUEL;7.92683
MIGUEL DE MOLINOS;7.88382
ALGARS;7.82609
COLEGIO MONTESSORI;7.7538
ÁNGEL ESCORIAZA;7.75194
FRANCISCO GALIAY SARAÑANA;7.69231
DE CALANDA;7.69231
ESCOLANÍA INFANTES DEL PILAR;7.69231
EL ARKA;7.69231
MI CASITA EN EL JARDIN;7.69231
MIGUEL CATALÁN;7.68238
PARQUE GOYA;7.54717
CENTRO NACIONAL DE ESTUDIOS DE TÉCNICOS DEPORTIVOS (CENETED). ESPECIALIDAD FÚTBOL;7.54717
VILLANUEVA DE GÁLLEGO;7.51634
JOAQUÍN TORRES;7.5
ISABEL DE ARAGÓN;7.5
ELAIOS;7.4883
DE TERUEL;7.40741
MONTES DEL CASTELLAR;7.35294
MONTE OROEL;7.34694
DADA;7.31707
REINO DE ARAGÓN;7.19101
LAS OCAS;7.14286
SANTA MARÍA;7.09677
DOMINGO MIRAL;6.93878
FRANCÉS DE ARANDA;6.91824
MONCAYO;6.91358
ALFREDO MUIÑOS;6.89655
POMPILIANO;6.77165
PILAR LORENGAR;6.75105
PEDRO DE LUNA;6.74518
DE HUESCA;6.67838
SAN GREGORIO;6.66667
PUENTE SARDAS;6.66667
NTRA. SRA. DEL PILAR;6.66667
RÍO GÁLLEGO;6.66667
MONTEARAGÓN;6.639
SANTA ROSA - ALTOARAGÓN;6.61253
IGNACIO LUZÁN;6.57895
MARGARITA SALAS;6.56064
PIRÁMIDE;6.55022
SANTO ÁNGEL CUSTODIO;6.52174
LAS FÁBULAS;6.52174
LICEO EUROPA;6.48148
LA SALLE-SANTO ANGEL;6.47249
BIELLO ARAGÓN;6.45161
RÍO VERO;6.45161
LA MALENA;6.45161
MIGUEL ARTIGAS;6.45161
